Data,Data,Distancia,Tempo,Segundos,Minutos,Horas,Minutos_por_KM
2015-11-28,2015-11-28,3.0,0,0,0.0,0.0,0.0
2015-12-09,2015-12-09,2.93,0:25:00,1500,25.0,0.4166666666666667,8.532423208191126
2015-12-12,2015-12-12,1.37,0:09:15,555,9.25,0.15416666666666667,6.751824817518248
2015-12-13,2015-12-13,5.3,0:43:36,2616,43.6,0.7266666666666667,8.226415094339623
2015-12-13,2015-12-13,2.21,0:18:59,1139,18.983333333333334,0.3163888888888889,8.58974358974359
2015-12-15,2015-12-15,6.5,0:58:43,3523,58.71666666666667,0.9786111111111111,9.033333333333333
2015-12-17,2015-12-17,12.0,1:39:00,5940,99.0,1.65,8.25
2015-12-19,2015-12-19,3.1,0:26:15,1575,26.25,0.4375,8.46774193548387
2015-12-20,2015-12-20,14.8,2:15:00,8100,135.0,2.25,9.121621621621621
2015-12-22,2015-12-22,3.1,0:28:00,1680,28.0,0.4666666666666667,9.032258064516128
2015-12-23,2015-12-23,5.63,0:51:50,3110,51.833333333333336,0.8638888888888889,9.206631142687982
2015-12-24,2015-12-24,3.05,0:25:08,1508,25.133333333333333,0.41888888888888887,8.240437158469947
2015-12-25,2015-12-25,14.8,2:20:00,8400,140.0,2.3333333333333335,9.45945945945946
2015-12-26,2015-12-26,5.2,0,0,0.0,0.0,0.0
2015-12-30,2015-12-30,3.15,0:22:10,1330,22.166666666666668,0.36944444444444446,7.037037037037037
2016-01-01,2016-01-01,26.2,4:20:43,15643,260.71666666666664,4.345277777777778,9.951017811704833
